#nspp : number of species 
3
#nyrs : number years for the zooplankton hindcast data 
34
#Zoop_years : years for the zooplankton data 
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012
#ncov : number of variates +2 for south OL and OL of plk and atf 
9
#nEatcovs 
4
#Eat_covs 
4 5 6 7
########################################################### 
#  BottomTemp :
2.476284 1.026352 1.418035 -0.150016 0.762935 -0.8243445 -1.038944 -0.8987508 0.8424628 -0.5441492 0.606923 -0.1038931 -0.263239 -1.304495 1.082038 -0.3499757 -1.143961 0.660365 -0.123557 1.401406 -1.458219 0.2662832 0.4221183 0.679687 1.910395 1.397052 1.534076 0.09960629 -0.693777 -0.9211647 -0.8079439 -1.370986 -0.4662641 -1.646055
#  SST_tmp :
0.6861568 0.439536 1.231321 -0.4330092 1.578411 1.084422 -1.229395 -1.052377 -0.2297377 0.1621795 0.4164433 0.8626915 -0.01481813 -0.4813866 0.7756056 -0.6522154 -0.05579312 0.3687543 1.948071 0.4686158 -1.556219 0.6760368 -0.08898412 0.8410082 0.7591978 1.153806 0.9112698 -0.2558961 -0.5610199 -1.532191 -0.9901589 -1.320514 -1.149507 -2.074147
#  ColdPool :
-2.224304 -1.170245 -1.471447 0.1612344 -0.8984491 0.7606466 1.269629 0.7534295 -0.9151901 0.6177753 -0.5402542 0.2653554 0.2581653 1.044098 -1.170322 0.3090384 1.090248 -0.6469737 0.3173145 -1.552386 1.509774 -0.07950906 -0.3423509 -0.4517061 -1.842768 -1.409953 -1.503228 -0.09630805 0.7435569 0.9856093 0.8304463 1.383454 0.3661793 1.425136
#  fallZtot :
-0.3872541 0.7375597 -1.454942 0.220232 0.6928909 0.5329346 -0.1866198 -0.7054241 -0.9317304 -0.618956 0.954731 0.1346366 0.8584923 1.405455 0.2598462 0.3406818 0.9119874 0.1364893 1.036203 1.358125 0.1566566 0.5068519 -1.186936 0.6884011 -2.868743 -1.506106 -2.118427 -0.3964801 -0.5737227 -0.4421823 0.3865509 0.3175917 0.4030589 0.9508924
#  fallZavg :
-0.4611154 0.6952306 -1.478193 0.1344696 0.6627059 1.310476 -0.004513659 -0.3415295 -1.047049 -0.4552248 0.2890571 -0.2106614 0.7722658 1.5645 0.7023691 0.2360496 0.8074363 -0.1510223 1.466526 1.239295 0.1622373 0.2758688 -1.018797 0.9091645 -2.653688 -1.138229 -2.250231 -0.8138965 -0.8805698 -0.3429969 0.3016406 0.3971251 0.1932408 0.6669433
#  springZtot :
1.616731 0.9679643 1.109252 0.9445054 1.295882 -0.1683419 -0.4673813 -0.899918 0.5257102 -0.4554691 0.5940895 -0.6164175 0.1220604 -0.9507207 1.005473 -1.146386 -0.4688835 1.536727 1.607613 0.04363721 -1.199369 1.064189 0.3311494 1.61677 0.2425215 0.8796181 0.08759848 -0.1826413 -1.046116 -0.7994238 -1.216477 -1.254877 -0.9156371 -2.186699
#  springZavg :
1.70223 1.123347 1.246617 0.4578274 1.52538 -0.05428678 -0.6700245 -0.4640158 0.5476797 -0.3693884 0.5146613 -0.5885601 0.1306725 -0.8669577 1.184836 -0.6675235 -0.5833053 1.389158 1.380601 0.5164279 -1.518156 0.9975337 0.05040663 1.270309 0.4305056 0.914974 0.2398584 -0.2426027 -1.043677 -0.833036 -1.331909 -1.482763 -0.9216963 -2.282893
#  cross :
1.275402 1.496589 0.7832676 -0.8600542 -1.516146 -1.096294 1.211273 -0.6012999 -0.3146397 -0.7660086 1.214781 0.1795149 -0.6189856 -1.158818 -0.6987114 -0.1462415 0.09138378 0.1069626 -0.6390611 -1.09355 -0.4532397 0.6632627 1.890582 -0.5700352 -1.055826 -0.4549078 0.1071404 -0.08833561 0.4833917 -0.7684096 0.8142568 0.07268782 0.7788414 3.006628
#  along :
-0.04515007 -1.340481 0.7226167 -1.287812 0.8839546 -0.5534608 -1.3979 1.380225 -0.04443034 -0.2473035 -1.236432 -1.497867 -1.063234 -0.3822904 0.7227311 -0.1600054 -0.5735513 -2.052789 -0.193905 0.9770468 1.009043 0.8975772 0.1684124 -0.07599511 1.082067 0.9187561 0.6318129 0.4355657 -0.1971049 -0.234407 -0.6881814 2.521591 0.204061 0.6716897
########################################################### 
# BT_retro
4.10105 2.899531 3.224109 1.924708 2.681245 1.365911 1.188078 1.304252 2.747148 1.598101 2.551962 1.962929 1.830883 0.9680234 2.945677 1.759007 1.101053 2.596248 1.946634 3.210328 0.8406364 2.269684 2.39882 2.61226 3.632114 3.206721 3.320268 2.131563 1.474108 1.285678 1.379501 0.9129241 1.662642 0.6849821
########################################################### 
# SST_retro
8.383647 8.005092 9.220455 6.665765 9.753227 8.994972 5.443338 5.715056 6.97778 7.579359 7.969646 8.654622 7.307674 6.591507 8.520948 6.32929 7.244779 7.896445 10.32064 8.049729 4.941675 8.368113 7.193832 8.621339 8.495763 9.101472 8.729188 6.937627 6.469272 4.978557 5.810558 5.303474 5.565965 4.146672
########################################################### 
#overlap : pred overlap (2-6/0-6 area)   
# predator  1 ; prey  1
0.842470445	0.842470445	0.212141955	0.660249653	0.733127495	0.979929658	0.64927887	1	1	1	1	0.79393748	0.532884975	0.72387168	0.81780763	0.42003301	0.391612938	0.508319218	0.403488958	0.943570843	0.68092997	0.576359943	0.74984602	1	0.608279565	0.85376862	0.561492793	0.780562093	0.689524265	0.301622488	0.844032215	0.498646225	0.571834965	1
# predator  1 ; prey  2
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# predator  1 ; prey  3
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# predator  2 ; prey  1
0.882243243	0.882243243	1	1	1	1	1	1	1	1	1	0.531166073	0.43884287	0.60171886	1	0.978116375	0.820091078	0.697966507	0.50089103	0.70192407	0.560011635	0.800305113	0.615025133	0.698988845	0.799088962	0.926721272	0.919168835	0.651061412	0.677110843	0.454431158	0.786258867	0.794325387	0.66863081	0.80143884
# predator  2 ; prey  2
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# predator  2 ; prey  3
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# predator  3 ; prey  1
0.703720263	0.703720263	0.190299105	0.193386885	0.336447457	0.27598855	0.332264522	1	0.758413652	0.930724007	0.846101272	0.439792612	0.523796593	0.90459299	0.656032758	0.563577635	0.78585256	0.66101511	0.446395325	0.332115663	0.51121333	0.655472883	0.39617628	1	0.92580305	1	0.963117073	0.617298425	0.570132357	0.54594813	1	1	0.354493803	0.804558058
# predator  3 ; prey  2
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
# predator  3 ; prey  3
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
#testfile  
12345
